Theta,Gamma,Theta_dot,Gamma_dot
-0.028999999,0.941999972,0.0016,-0.000159998
0.011,0.938000023,0.00188,0.000479999
0.057999998,0.949999988,0.0018,0.001719999
0.103,0.992999971,0.00156,0.001759999
0.142000005,1.036999941,0.00096,0.001800003
0.165999994,1.082000017,0.0004,0.000240002
0.175999999,1.088000059,0.0002,-0.001080003
0.180999994,1.06099999,-0.0002,-0.002879999
0.175999999,0.989000022,-0.00132,-0.003080001
0.143000007,0.912,-0.00172,-0.001719999
0.100000001,0.869000018,-0.00148,0.000319998
0.063000001,0.876999974,-0.00156,0.001520002
0.024,0.915000021,-0.00148,0.001399999
-0.013,0.949999988,-0.0008,0.000800002
-0.033,0.970000029,-0.00048,0.00076
-0.045000002,0.989000022,8.00E-05,-0.0002
-0.043000001,0.984000027,0.00084,-0.000960002
-0.022,0.959999979,0.00136,-0.00076
0.012,0.940999985,0.0018,0.00016
0.057,0.944999993,0.0018,0.001560001
0.101999998,0.984000027,0.0016,0.001919997
0.142000005,1.031999946,0.001,0.001880002
0.166999996,1.078999996,0.00044,0.000279999
0.178000003,1.085999966,0.0002,-0.000839996
0.182999998,1.065000057,-0.0002,-0.002680001
0.178000003,0.998000026,-0.00112,-0.003080001
0.150000006,0.921000004,-0.00168,-0.00188
0.108000003,0.874000013,-0.00164,4.00E-05
0.067000002,0.875,-0.00152,0.00148
0.028999999,0.912,-0.00144,0.001359999
-0.007,0.94599998,-0.00088,0.000840001
-0.028999999,0.967000008,-0.0006,0.000799999
-0.044,0.986999989,4.00E-05,-8.00E-05
-0.043000001,0.985000014,0.00072,-0.000800002
-0.025,0.964999974,0.00136,-0.00092
0.009,0.941999972,0.00176,8.00E-05
0.052999999,0.944000006,0.0018,0.001440001
0.097999997,0.980000019,0.00156,0.001879997
0.136999995,1.02699995,0.00116,0.001960001
0.165999994,1.075999975,0.00048,0.000480003
0.178000003,1.088000059,0.00024,-0.00072
0.184,1.070000052,-0.00016,-0.002440004
0.180000007,1.008999944,-0.00108,-0.003119998
0.152999997,0.930999994,-0.0016,-0.001759999
0.112999998,0.887000024,-0.00156,-0.00036
0.074000001,0.878000021,-0.00164,0.001239998
0.033,0.908999979,-0.00148,0.00132
-0.004,0.941999972,-0.00092,0.00092
-0.027000001,0.964999974,-0.0006,0.000880001
-0.041999999,0.986999989,-4.00E-05,0
-0.043000001,0.986999989,0.0006,-0.000679998
-0.028000001,0.970000029,0.00128,-0.001040001
0.004,0.944000006,0.00172,0
0.046999998,0.944000006,0.0018,0.001399999
0.092,0.978999972,0.00164,0.001960001
0.133000001,1.027999997,0.0012,0.001919999
0.163000003,1.075999975,0.00052,0.000640001
0.175999999,1.092000008,0.00028,-0.000599999
0.182999998,1.077000022,-8.00E-05,-0.002400002
0.180999994,1.01699996,-0.001,-0.003239999
0.156000003,0.93599999,-0.0016,-0.00168
0.115999997,0.893999994,-0.00168,-0.000639999
0.074000001,0.878000021,-0.0016,0.00128
0.034000002,0.910000026,-0.00144,0.001239998
-0.002,0.940999985,-0.00092,0.00092
-0.025,0.963999987,-0.00044,0.00076
-0.035999998,0.98299998,-0.00024,0.000240002
-0.041999999,0.989000022,0.0006,-0.000680001
-0.027000001,0.972000003,0.0012,-0.001159999
0.003,0.943000019,0.00172,-0.000120001
0.046,0.939999998,0.0018,0.00132
0.090999998,0.97299999,0.00164,0.001759999
0.131999999,1.01699996,0.00124,0.001960001
0.163000003,1.065999985,0.00064,0.00092
0.179000005,1.088999987,0.00024,-0.000440001
0.185000002,1.077999949,-8.00E-05,-0.002199998
0.182999998,1.023000002,-0.00084,-0.003280001
0.162,0.940999985,-0.00156,-0.00188
0.123000003,0.893999994,-0.00176,-0.00076
0.079000004,0.875,-0.0016,0.00112
0.039000001,0.902999997,-0.00148,0.001440001
0.002,0.93900001,-0.00088,0.000880001
-0.02,0.961000025,-0.00044,0.000719998
-0.030999999,0.978999972,-0.00036,0.00052
-0.039999999,0.991999984,0.00048,-0.00076
-0.028000001,0.97299999,0.00468,-4.00E-05
0.089000002,0.972000003,0.0016,0.001719999
0.128999993,1.014999986,0.00128,0.001960001
0.160999998,1.06400001,0.00072,0.000999999
0.179000005,1.088999987,0.00024,-0.000320001
0.185000002,1.08099997,-4.00E-05,-0.00204
0.184,1.029999971,-0.00072,-0.003399999
0.165999994,0.944999993,-0.00156,-0.002
0.127000004,0.894999981,-0.00172,-0.00076
0.083999999,0.875999987,-0.00152,0.000880001
0.046,0.898000002,-0.00152,0.001400001
0.008,0.933000028,-0.00096,0.00112
-0.016000001,0.961000025,-0.00044,0.00056
-0.027000001,0.975000024,-0.0004,0.000679998
-0.037,0.991999984,0.00032,-0.00072
-0.028999999,0.973999977,0.00116,-0.001239998
0,0.943000019,0.00156,-0.000120001
0.039000001,0.939999998,0.00184,0.001240001
0.085000001,0.971000016,0.00164,0.001720002
0.126000002,1.014000058,0.00128,0.001879997
0.158000007,1.06099999,0.00076,0.001160002
0.177000001,1.090000033,0.00024,-0.000240002
0.182999998,1.083999991,8.00E-05,-0.00184
0.185000002,1.037999988,-0.00064,-0.00352
