Theta,Gamma,Theta_dot,Gamma_dot
0.007,0.958999991,0.00064,-0.000479999
0.023,0.947000027,0.00064,-0.000840001
0.039000001,0.925999999,8.00E-05,-2.00E-04
0.041000001,0.921000004,3.20E-04,0.000680001
0.048999999,0.938000023,0.00044,0.0028
0.059999999,1.008000016,0.00056,0.00244
0.074000001,1.069000006,8.00E-05,0.001360002
0.075999998,1.103000045,-0.00016,0.000159998
0.071999997,1.106999993,-8.00E-05,-0.001799998
0.07,1.062000036,-0.00072,-0.002680001
0.052000001,0.995000005,-4.00E-05,-0.001560001
0.050999999,0.95599997,1.20E-04,-0.000359998
0.054000001,0.947000027,8.00E-05,-2.80E-04
0.056000002,0.939999998,-0.00072,-0.000239999
0.037999999,0.934000015,-4.80E-04,2.00E-04
0.026000001,0.93900001,-9.60E-04,0.00092
0.002,0.962000012,1.60E-04,-8.00E-05
0.006,0.959999979,0.00064,-0.000519998
0.022,0.947000027,6.80E-04,-0.00072
0.039000001,0.92900002,8.00E-05,-0.0004
0.041000001,0.91900003,0.00024,0.000599999
0.046999998,0.934000015,0.00036,0.002639999
0.056000002,1,4.80E-04,0.00256
0.068000004,1.06400001,0.0002,0.001399999
0.072999999,1.098999977,-8.00E-05,0.000240002
0.071000002,1.105000019,-8.00E-05,-0.00164
0.068999998,1.06400001,-0.0006,-0.00256
0.054000001,1,-4.00E-05,-0.001760001
0.052999999,0.95599997,0.0002,-0.000279999
0.057999998,0.949000001,1.20E-04,-0.000239999
0.061000001,0.943000019,-4.00E-04,-4.00E-05
0.050999999,0.941999972,-0.00084,4.00E-05
0.029999999,0.943000019,-1.20E-03,7.60E-04
0,0.962000012,0.0002,-4.00E-05
0.005,0.961000025,0.0006,-0.000600002
0.02,0.94599998,0.0008,-0.000519998
0.039999999,0.933000028,8.00E-05,-0.00052
0.041999999,0.920000017,8.00E-05,4.40E-04
0.044,0.930999994,4.40E-04,0.002639999
0.055,0.996999979,0.00036,0.002600002
0.064000003,1.062000036,0.0002,0.001399999
0.068999998,1.097000003,0.00E+00,8.00E-05
0.068999998,1.098999977,-0.00012,-1.24E-03
0.066,1.067999959,-0.00028,-0.002159996
0.059,1.014000058,-0.00028,-0.002120001
0.052000001,0.961000025,1.60E-04,-0.000480001
0.056000002,0.949000001,0.00016,-0.00016
0.059999999,0.944999993,-0.00028,-4.00E-05
0.052999999,0.944000006,-7.20E-04,1.20E-04
0.035,0.947000027,-0.00136,0.000519998
0.001,0.959999979,0.00016,0
0.005,0.959999979,0.0006,-0.000599999
0.02,0.944999993,8.40E-04,-0.0004
0.041000001,0.935000002,8.00E-05,-0.00076
0.043000001,0.916000009,1.20E-04,4.00E-04
0.046,0.925999999,4.00E-04,2.48E-03
0.056000002,0.987999976,0.00032,0.002520001
0.064000003,1.050999999,0.00028,0.001799998
0.071000002,1.095999956,4.00E-05,0.000320001
0.071999997,1.103999972,-1.20E-04,-0.001199999
0.068999998,1.074000001,-0.00028,-0.002080002
0.061999999,1.021999955,-0.0002,-0.002199998
0.057,0.967000008,0.00E+00,-0.000680001
0.057,0.949999988,8.00E-05,-0.00016
0.059,0.94599998,-1.60E-04,-8.00E-05
0.055,0.944000006,-5.20E-04,2.40E-04
0.041999999,0.949999988,-0.00132,0.000280001
0.009,0.957000017,-0.00024,0.0002
0.003,0.962000012,0.0006,-0.000599999
0.017999999,0.947000027,0.0008,-0.000480001
0.037999999,0.935000002,0.00024,-0.000880001
0.044,0.912999988,8.00E-05,0.000440001
0.046,0.924000025,3.20E-04,2.08E-03
0.054000001,0.976000011,4.80E-04,0.002720001
0.066,1.04400003,0.0002,0.00204
0.071000002,1.095000029,-0.00028,-0.002639999
0.064000003,1.029000044,-0.00012,-0.002320001
0.061000001,0.971000016,-1.20E-04,-0.000840001
0.057999998,0.949999988,8.00E-05,-0.0002
0.059999999,0.944999993,-1.20E-04,-0.00016
0.057,0.940999985,-0.00068,0.0002
0.039999999,0.94599998,-0.00156,0.000480001
0.001,0.958000004,8.00E-05,8.00E-05
0.003,0.959999979,0.00052,-0.000599999
0.016000001,0.944999993,0.00084,-8.00E-05
0.037,0.943000019,0.00028,-0.001000001
0.044,0.917999983,8.00E-05,0.000120001
0.046,0.921000004,0.00048,1.88E-03
0.057999998,0.967999995,4.40E-04,0.0028
0.068999998,1.037999988,0.00016,0.002200003
0.072999999,1.093000054,8.00E-05,0.000719995
0.075000003,1.110999942,-1.60E-04,-6.40E-04
0.071000002,1.095000029,-1.20E-04,-0.002320004
0.068000004,1.036999941,-0.00036,-0.002399998
0.059,0.976999998,-0.00012,-1.08E-03
0.056000002,0.949999988,0.00E+00,-0.000239999
0.056000002,0.944000006,-2.40E-04,-0.00052
0.050000001,0.930999994,-0.00068,0.000120001
0.033,0.934000015,-0.00096,0.000839999
0.009,0.954999983,-1.60E-04,1.20E-04
0.005,0.958000004,0.00032,-0.00056
0.013,0.944000006,0.00072,4.00E-05
0.030999999,0.944999993,0.00044,-0.001159999
0.041999999,0.916000009,2.00E-04,0.00016
0.046999998,0.920000017,0.00048,0.001719999
0.059,0.963,0.0004,0.002679999
0.068999998,1.029999971,0.00024,0.00224
0.075000003,1.085999966,4.00E-05,0.000999999
0.075999998,1.110999942,-0.00024,-5.20E-04
0.07,1.09800005,-0.00024,-0.002280002
0.064000003,1.041000009,-0.0004,-0.002360001
0.054000001,0.981999993,-8.00E-05,-1.08E-03
0.052000001,0.954999983,0,-0.0004
0.052000001,0.944999993,-2.40E-04,-0.000680001
0.046,0.927999973,-6.00E-04,0.000200002
0.030999999,0.933000028,-0.00076,0.00076
0.012,0.952000022,-2.40E-04,2.40E-04
0.006,0.958000004,2.40E-04,-0.000480001
0.012,0.94599998,0.00072,4.00E-05
0.029999999,0.947000027,0.00044,-0.00112
0.041000001,0.91900003,1.60E-04,-4.00E-05
0.045000002,0.917999983,0.00052,1.48E-03
0.057999998,0.954999983,0.00036,0.002840002
0.067000002,1.026000023,0.00032,0.00224
0.075000003,1.082000017,0,0.00112
0.075000003,1.110000014,-0.0002,-2.40E-04
0.07,1.103999972,-0.00016,-0.002279997
0.066,1.047000051,-0.00056,-0.002480001
0.052000001,0.985000014,-8.00E-05,-1.20E-03
0.050000001,0.954999983,0.00E+00,-0.000439999
0.050000001,0.944000006,-1.60E-04,-0.00072
0.046,0.925999999,-0.00052,0.0002
0.033,0.930999994,-4.80E-04,4.00E-04
0.021,0.940999985,-0.0008,8.40E-04
0.001,0.962000012,3.60E-04,-0.000480001
0.01,0.949999988,0.00072,-8.00E-05
0.028000001,0.948000014,0.00048,-0.00096
0.039999999,0.924000025,1.20E-04,-0.000120001
0.043000001,0.921000004,0.00048,1.24E-03
0.055,0.952000022,0.00028,0.002719998
0.061999999,1.019999981,0.00044,0.002280002
0.072999999,1.077000022,8.00E-05,0.001199999
0.075000003,1.106999993,-0.0002,-8.00E-05
0.07,1.105000019,-8.00E-05,-0.002160001
0.068000004,1.050999999,-0.0006,-0.0026
0.052999999,0.986000001,-0.00012,-0.001240001
0.050000001,0.954999983,0,-0.0004
0.050000001,0.944999993,-0.00016,-0.000599999
0.046,0.930000007,-4.80E-04,4.00E-05
0.034000002,0.930999994,-4.00E-04,3.20E-04
0.024,0.93900001,-8.80E-04,8.80E-04
0.002,0.961000025,0.00032,-2.80E-04
0.01,0.953999996,0.00068,-0.000320001
0.027000001,0.94599998,0.00056,-0.000879998
0.041000001,0.924000025,8.00E-05,-0.0002
0.043000001,0.91900003,4.00E-04,1.04E-03
0.052999999,0.944999993,0.00036,0.002720001
0.061999999,1.013000011,0.00052,0.00244
0.075000003,1.074000001,0.00016,0.001360002
0.079000004,1.10800004,-0.00012,0
0.075999998,1.10800004,-0.00012,-2.12E-03
0.072999999,1.054999948,-0.00072,-0.002679999
0.055,0.987999976,-0.00012,-0.001359999
0.052000001,0.953999996,4.00E-05,-0.000279999
0.052999999,0.947000027,4.00E-05,-0.000320001
0.054000001,0.93900001,-7.20E-04,-0.000120001
0.035999998,0.93599999,-5.20E-04,0.0002
0.023,0.940999985,-8.00E-04,0.000840001
0.003,0.962000012,0.00016,-4.00E-05
0.007,0.961000025,0.0006,-0.000600002
0.022,0.94599998,0.00068,-0.000799999
0.039000001,0.925999999,8.00E-05,-2.40E-04
0.041000001,0.920000017,0.00036,0.00096
0.050000001,0.944000006,0.0004,0.002639999
0.059999999,1.00999999,0.00052,0.002319999
0.072999999,1.067999959,0.00024,0.001400003
0.079000004,1.103000045,-0.00016,0.000279999
0.075000003,1.110000014,-0.00104,-0.006160002
0.048999999,0.95599997,8.00E-05,-0.000359998
0.050999999,0.947000027,0,-0.000320001
0.050999999,0.93900001,-0.00064,-0.0002
0.035,0.934000015,-4.40E-04,0.000279999
0.024,0.940999985,-0.00084,0.000840001
0.003,0.962000012,8.00E-05,4.00E-05
0.005,0.963,0.00068,-0.00072
0.022,0.944999993,0.00072,-6.00E-04
0.039999999,0.930000007,0.00012,-0.000439999
0.043000001,0.91900003,2.00E-04,8.00E-04
0.048,0.93900001,0.0004,0.002519999
0.057999998,1.001999974,5.60E-04,0.002480001
0.071999997,1.06400001,0.00036,0.001560001
0.081,1.103000045,-1.20E-04,0.000319996
0.078000002,1.110999942,-0.0002,-0.001879997
0.072999999,1.06400001,-0.00072,-0.002639999
0.055,0.998000026,-1.20E-04,-0.001760001
0.052000001,0.953999996,1.60E-04,-0.000279999
0.056000002,0.947000027,8.00E-05,-0.000240002
0.057999998,0.940999985,-0.00052,-8.00E-05
0.045000002,0.93900001,-0.00064,4.00E-05
0.028999999,0.939999998,-0.001,0.00092
0.004,0.963,4.00E-05,0
0.005,0.963,0.00068,-0.000639999
0.022,0.947000027,8.00E-04,-0.00036
0.041999999,0.938000023,4.00E-05,-0.000640001
0.043000001,0.921999991,1.60E-04,0.00056
0.046999998,0.93599999,0.00044,0.002520001
0.057999998,0.999000013,5.20E-04,0.002439997
0.071000002,1.059999943,0.0004,0.001680002
0.081,1.101999998,-8.00E-05,4.00E-04
0.079000004,1.111999989,-0.0002,-0.00164
0.074000001,1.07099998,-0.0006,-0.002599998
0.059,1.006000042,-0.00016,-0.002000003
0.055,0.95599997,1.20E-04,-0.000319998
0.057999998,0.948000014,8.00E-05,-0.0002
0.059999999,0.943000019,-2.40E-04,-4.00E-05
0.054000001,0.941999972,-6.40E-04,2.00E-04
0.037999999,0.947000027,-0.00156,0.00056
-0.001,0.961000025,2.00E-04,4.00E-05
0.004,0.962000012,0.00056,-0.00076
0.017999999,0.943000019,8.80E-04,-0.000240002
0.039999999,0.936999977,0.00016,-0.000839999
0.044,0.916000009,1.60E-04,5.60E-04
0.048,0.930000007,0.00052,2.32E-03
0.061000001,0.987999976,4.00E-04,0.002640002
0.071000002,1.05400002,0.0004,0.001919999
0.081,1.101999998,-8.00E-05,0.000440001
0.079000004,1.113000035,-3.60E-04,-1.36E-03
0.07,1.078999996,-0.00036,-0.00244
0.061000001,1.018000007,-0.00024,-2.24E-03
0.055,0.962000012,4.00E-05,-0.00052
0.056000002,0.949000001,0.00012,-0.000120001
0.059,0.94599998,-2.40E-04,-1.20E-04
0.052999999,0.943000019,-0.00056,2.80E-04
0.039000001,0.949999988,-0.0016,0.000440001
-0.001,0.961000025,1.60E-04,0
0.003,0.961000025,0.00052,-0.00072
0.016000001,0.943000019,9.20E-04,4.00E-05
0.039000001,0.944000006,0.00016,-0.000999999
0.043000001,0.91900003,1.60E-04,0.000279999
0.046999998,0.925999999,0.00048,2.24E-03
0.059,0.981999993,0.00044,0.002639999
0.07,1.047999978,0.00036,0.002080002
0.079000004,1.100000024,-4.00E-05,0.000559998
0.078000002,1.113999963,-3.20E-04,-1.12E-03
0.07,1.085999966,-0.00028,-0.002360001
0.063000001,1.02699995,-0.0002,-2.32E-03
0.057999998,0.968999982,-0.00012,-0.00076
0.055,0.949999988,0.00012,-8.00E-05
0.057999998,0.948000014,-0.0002,-0.0002
0.052999999,0.943000019,-0.00052,0.000279999
0.039999999,0.949999988,-0.0016,0.000480001
0,0.962000012,1.60E-04,0
0.004,0.962000012,0.0004,-0.000800002
0.014,0.941999972,8.40E-04,0.000200002
0.035,0.947000027,0.00028,-0.00112
0.041999999,0.91900003,1.60E-04,0.000159998
0.046,0.922999978,0.0012,0.006919999
0.075999998,1.095999956,0,0.000760002
0.075999998,1.11500001,-0.00088,-0.00556
0.054000001,0.976000011,-0.00028,-0.001560001
0.046999998,0.936999977,-0.00068,8.00E-05
0.029999999,0.93900001,-0.00096,0.000880001
0.006,0.961000025,0.00112,-0.000600002
0.034000002,0.94599998,0.00036,-0.001159999
0.043000001,0.916999996,1.60E-04,0.00016
0.046999998,0.921000004,4.80E-04,1.84E-03
0.059,0.967000008,0.00052,0.00276
0.071999997,1.036000013,1.60E-04,0.00224
