Theta,Gamma,Theta_dot,Gamma_dot,Current 0,Current 1 ,Foot Force
-0.057999998,0.973999977,0.0002,-0.00036,1.661999941,0.829999983,0.092688399
-0.052999999,0.964999974,0.00116,-0.001079998,3.671000004,-0.847000003,2.024581041
-0.024,0.938000023,0.0016,0.000279999,3.891000032,-3.640000105,4.078849503
0.016000001,0.944999993,0.00184,0.000640001,4.787000179,-6.221000195,6.374629778
0.061999999,0.961000025,0.00172,0.002,5.856999874,-10.03600025,9.795301729
0.104999997,1.011000037,0.00132,0.00184,7.897999763,-13.59000015,13.40094722
0.137999997,1.057000041,0.0008,0.001359997,8.623000145,-15.49800015,15.29072767
0.158000007,1.090999961,0.00024,-0.000119996,6.573999882,-14.83100033,14.16863751
0.164000005,1.088000059,0.00016,-0.002040005,4.138999939,-12.36100006,11.39741198
0.167999998,1.036999941,-0.00044,-0.003159997,1.717000008,-9.642999649,8.467914879
0.157000005,0.958000004,-0.00132,-0.002520001,1.633999944,-8.303999901,7.435532741
0.123999998,0.894999981,-0.00172,-0.00128,1.33099997,-6.518000126,5.872466486
0.081,0.862999976,-0.00168,0.00056,0.319000006,-4.045000076,3.43002052
0.039000001,0.876999974,-0.0016,0.001320002,-0.289000005,-1.590000033,1.150566054
-0.001,0.910000026,-0.00132,0.001279998,-0.165999994,0.170000002,-0.186812305
-0.034000002,0.941999972,-0.00064,0.000800002,0.270000011,1.330000043,-0.839520465
-0.050000001,0.962000012,-0.00028,0.00052,0.676999986,1.463000059,-0.746236725
-0.057,0.975000024,0.00016,-0.00036,1.845999956,0.986000001,0.058428843
-0.052999999,0.966000021,0.00112,-0.001160002,3.328999996,-0.734000027,1.813000281
-0.025,0.936999977,0.00516,0.002760003,4.356999874,-3.565000057,4.199924093
0.104000002,1.006000042,0.00144,0.001799998,7.43599987,-13.50399971,13.17836477
0.140000001,1.050999999,0.00076,0.001440001,8.800000191,-15.69400024,15.52263837
0.158999994,1.087000012,0.00028,-0.000120001,6.614999771,-15.38899994,14.64045664
0.165999994,1.083999991,0.00016,-0.001760001,4.471000195,-13.06200027,12.0890187
0.170000002,1.039999962,-0.0004,-0.003,1.468999982,-10.17399979,8.831196172
0.159999996,0.964999974,-0.00124,-0.002639999,1.177999973,-8.402999878,7.373994005
0.128999993,0.898999989,-0.00176,-0.001359999,-0.136999995,-6.752999783,5.61991203
0.085000001,0.86500001,-0.00164,0.00036,0.547999978,-4.274000168,3.700044211
0.044,0.874000013,-0.00168,0.00128,-0.136000007,-2.036999941,1.564824483
0.002,0.906000018,-0.00136,0.001359999,0.151999995,-0.009,0.061738742
-0.032000002,0.939999998,-0.00056,0.00072,0.155000001,1.286999941,-0.855791166
-0.046,0.958000004,-0.00032,0.000680001,0.583000004,1.651000023,-0.920950727
-0.054000001,0.975000024,0.00012,-0.000400002,2.417000055,0.912,0.330515836
-0.050999999,0.964999974,0.001,-0.00112,2.663000107,-0.601999998,1.459149736
-0.026000001,0.936999977,0.00164,0.000240002,3.923000097,-3.357000113,3.885915345
0.015,0.943000019,0.0018,0.000599999,4.342000008,-5.797999859,5.897054528
0.059999999,0.958000004,0.00176,0.001800001,6.072999954,-9.114999771,9.156264835
0.104000002,1.003000021,0.00148,0.00184,7.519999981,-13.00500011,12.81802933
0.141000003,1.049000025,0.00088,0.001560001,8.015999794,-15.48200035,15.0995115
