Theta,Gamma,Current0,Current1,Seq,sp_theta,sp_gamma
0.131999999,1.042999983,3.865999937,-10.20600033,2.957520413,0,1.349354148
0.134000003,0.985000014,1.302000046,-7.981999874,2.996954019,0,1.215990424
0.107000001,0.916999996,1.654000044,-6.34800005,3.036387624,0,1.099913239
0.071000002,0.878000021,0.832000017,-4.420000076,3.07582123,0,1.006692171
0.037999999,0.875999987,0.063000001,-2.217999935,3.115254835,0,0.94432795
0,0.889999986,0.796999991,-0.252000004,3.154688441,0,0.918756962
-0.034000002,0.903999984,0.949999988,1.095999956,3.194122046,0,0.93329376
-0.054000001,0.924000025,1.496999979,1.274000049,3.233555652,0,0.986241698
-0.067000002,0.940999985,2.219000101,1.190000057,3.272989257,0,1.071395993
-0.077,0.953999996,3.53399992,0.432000011,3.312422863,0,1.182211161
-0.07,0.940999985,4.862999916,-1.661999941,3.351856468,0,1.310996652
-0.039999999,0.926999986,5.781000137,-4.132999897,3.391290074,0,1.49130857
0.006,0.958000004,6.393000126,-7.237999916,3.430723679,0,1.765390992
0.054000001,1,7.934000015,-11.07900047,3.470157285,0,1.985622168
0.093999997,1.044999957,8.756999969,-14.04199982,3.50959089,0,2.028819323
0.119999997,1.082000017,8.470000267,-14.78199959,3.549024496,0,1.860927939
0.135000005,1.090000033,6.03000021,-13.15600014,3.588458101,0,1.595940828
0.148000002,1.054999948,2.60800004,-10.76099968,3.627891707,0,1.363979459
0.148000002,0.990999997,1.243000031,-8.562000275,3.667325312,0,1.229199886
0.123000003,0.920000017,1.402999997,-7.136000156,3.706758918,0,1.111089468
0.086999997,0.875999987,1.041000009,-5.111000061,3.746192523,0,1.015098095
0.048999999,0.869000018,-0.016000001,-2.542999983,3.785626129,0,0.949219584
0.008,0.887000024,1.047000051,-0.675999999,3.825059734,0,0.919557333
-0.028999999,0.901000023,0.930999994,0.871999979,3.86449334,0,0.929917276
-0.054000001,0.925999999,1.422000051,1.631000042,3.903926945,0,0.979083538
-0.068999998,0.944999993,2.164999962,1.546000004,3.943360551,0,1.061186075
-0.078000002,0.954999983,3.46600008,0.518000007,3.982794156,0,1.169693947
-0.071999997,0.944999993,4.639999866,-1.343000054,4.022227762,0,1.296842813
-0.043000001,0.925999999,5.729000092,-3.750999928,4.061661368,0,1.462789297
0.008,0.95599997,5.977000237,-6.941999912,4.101094973,0,1.737564921
0.057999998,0.998000026,7.546000004,-10.85700035,4.140528579,0,1.968766928
0.097999997,1.041000009,8.875,-14.01599979,4.179962184,0,2.035226345
0.128000006,1.08099997,7.752999783,-14.97999954,4.21939579,0,1.885245919
0.143999994,1.093000054,6.05700016,-13.52999973,4.258829395,0,1.624925375
