Theta,Gamma,Theta_dot,Gamma_dot
0.064999998,1.029999971,0.00224,0.001960001
0.120999999,1.078999996,0.0024,0.002719998
0.180999994,1.146999955,2.00E-03,0.003559999
0.231000006,1.235999942,0.000879999,0.002200003
0.252999991,1.291000009,-0.00016,0
0.248999998,1.291000009,-0.0004,-0.002119999
0.238999993,1.238000035,-0.00024,-0.003440003
0.232999995,1.15199995,-0.00164,-0.004359999
0.192000002,1.042999983,-0.00252,-0.002079999
0.128999993,0.990999997,-0.00248,8.00E-05
0.067000002,0.992999971,-0.00188,0.00076
0.02,1.011999965,-8.00E-05,4.00E-05
0.017999999,1.013000011,-0.00012,1.20E-04
0.015,1.016000032,-0.00024,0.000359998
0.009,1.024999976,-0.00036,0.000880003
0,1.047000051,0.00072,-0.001160002
0.017999999,1.018000007,0.00152,8.00E-05
0.056000002,1.019999981,1.68E-03,0.001719999
0.097999997,1.062999964,0.00208,0.00204
0.150000006,1.113999963,0.0022,0.003920002
0.204999998,1.212000012,0.0014,0.00244
0.239999995,1.273000002,0.00012,0.000320001
0.243000001,1.281000018,-0.00044,-0.001599998
0.231999993,1.241000056,-0.00036,-0.003440003
0.223000005,1.154999971,-0.00112,-0.004159999
0.194999993,1.050999999,-0.00224,-0.002520001
0.138999999,0.987999976,-0.00264,-0.00092
0.072999999,0.964999974,-0.00212,0.001800001
0.02,1.00999999,-0.0004,0.000360003
0.01,1.019000053,4.00E-05,0
0.011,1.019000053,-4.00E-05,0.000119996
0.01,1.021999955,-0.0004,0.000840001
0,1.042999983,0.0004,-0.001040001
0.01,1.01699996,0.00216,0.000280004
0.064000003,1.024000049,1.92E-03,0.001399999
0.112000003,1.059000015,0.00208,0.002599998
0.164000005,1.123999953,0.00192,0.003400002
0.211999997,1.208999991,0.00136,0.00244
0.246000007,1.269999981,0.000479999,0.000640001
0.257999986,1.286000013,-0.00012,-0.00112
0.254999995,1.258000016,-0.00044,-0.003520002
0.244000003,1.169999957,-0.00092,-0.004359999
0.221000001,1.06099999,-0.00216,-0.002720001
0.166999996,0.992999971,-0.00284,-0.000839999
0.096000001,0.972000003,-0.00284,0.001279998
0.025,1.003999949,-0.00072,7.20E-04
0.007,1.021999955,8.00E-05,-8.00E-05
0.009,1.019999981,4.00E-05,8.00E-05
0.01,1.021999955,-0.00044,0.00072
-0.001,1.039999962,-4.00E-05,-0.000439997
-0.002,1.029000044,0.00224,0
0.054000001,1.029000044,2.32E-03,0.00152
0.112000003,1.067000031,0.0022,0.002199998
0.166999996,1.121999979,0.00204,0.00296
0.217999995,1.19599998,0.00148,0.002720003
0.254999995,1.264000058,0.000600001,0.000799999
0.270000011,1.284000039,-4.00E-05,-0.00072
0.268999994,1.266000032,-0.00084,-0.003120003
0.247999996,1.187999964,-0.00096,-0.004359999
0.224000007,1.078999996,-0.00224,-0.003080001
0.167999998,1.001999974,-0.00276,-0.001039999
0.098999999,0.976000011,-0.00356,0.001759999
0.01,1.019999981,0,4.00E-05
0.01,1.021000028,-0.00044,0.000679998
-0.001,1.037999988,-0.00072,0.000320001
-0.018999999,1.046000004,0.00224,-0.000640001
0.037,1.029999971,0.00248,0.00112
0.098999999,1.057999969,0.00232,0.00224
0.157000005,1.113999963,2.32E-03,0.00296
0.215000004,1.187999964,0.001719999,0.003080001
0.257999986,1.264999986,0.0008,0.000960002
0.277999997,1.289000034,-0.00016,-0.000560002
0.273999989,1.274999976,-0.000599999,-2.92E-03
0.259000003,1.202000022,-0.0008,-0.003920002
0.238999993,1.103999972,-0.00212,-0.003439999
0.186000004,1.018000007,-0.00308,-0.001600001
0.108999997,0.977999985,-0.00296,0.000480001
0.035,0.99000001,-0.0012,1.36E-03
0.005,1.024000049,0.00016,-0.000160003
0.009,1.019999981,-4.00E-05,8.00E-05
0.008,1.021999955,-0.00032,0.000599999
0,1.036999941,-0.00088,0.000760002
-0.022,1.055999994,0.00212,-0.000960002
0.030999999,1.031999946,0.00264,0.00092
0.097000003,1.054999948,0.00236,0.002120004
0.156000003,1.10800004,0.00244,0.002919998
0.216999993,1.180999994,0.00188,0.003320003
0.263999999,1.264000058,0.000880001,0.001159997
0.286000013,1.292999983,4.00E-05,-0.000359998
0.287,1.284000039,-0.000880001,-2.96E-03
0.264999986,1.210000038,-0.000799999,-0.003720002
0.245000005,1.116999984,-0.00196,-0.004000001
0.195999995,1.01699996,-0.00312,-0.001799998
0.118000001,0.972000003,-0.00288,0.0002
0.046,0.976999998,-0.00172,0.001919999
0.003,1.024999976,0.0002,-0.0002
0.008,1.019999981,4.00E-05,8.00E-05
0.009,1.021999955,-0.00024,0.000480003
0.003,1.034000039,-0.00036,0.00052
-0.006,1.047000051,0.00196,-0.000960002
0.043000001,1.023000002,0.0024,0.001240001
0.103,1.05400002,0.00236,0.00224
0.162,1.110000014,0.00228,0.002639999
0.218999997,1.175999999,0.00184,0.003439999
0.264999986,1.261999965,0.000840001,0.001480002
0.286000013,1.299000025,-8.00E-05,-0.000320001
0.284000009,1.291000009,-0.0002,-2.72E-03
0.279000014,1.22300005,-0.00052,-0.004200001
0.266000003,1.118000031,-0.0018,-0.003120003
0.221000001,1.039999962,-0.00264,-0.001679997
0.155000001,0.998000026,-0.00276,-4.00E-05
0.086000003,0.996999979,-0.00344,0.000799999
0,1.01699996,4.00E-05,-0.0002
0.001,1.011999965,4.00E-05,0.000120001
0.002,1.014999986,0,0.000760002
0.002,1.034000039,-0.00068,0.000839996
-0.015,1.054999948,0.00136,-0.001239996
0.018999999,1.024000049,0.00292,0.000439997
0.092,1.034999967,0.00252,2.56E-03
0.155000001,1.098999977,0.00256,0.00316
0.218999997,1.177999973,0.00184,0.00336
0.264999986,1.261999965,0.000880001,0.00164
0.287,1.302999973,-8.00E-05,-0.000239997
0.284999996,1.297000051,-0.00012,-2.44E-03
0.282000005,1.235999942,-0.00044,-0.004319997
0.270999998,1.128000021,-0.00176,-0.004240003
0.226999998,1.021999955,-0.0028,-0.002679999
0.157000005,0.954999983,-0.00316,0.00016
0.078000002,0.958999991,-0.00268,0.002400002
0.011,1.019000053,-0.00016,4.00E-05
0.007,1.019999981,8.00E-05,8.00E-05
0.009,1.021999955,-0.00012,0.000280004
0.006,1.029000044,-0.00052,0.00112
-0.007,1.057000041,0.00108,-0.001400003
0.02,1.021999955,0.00268,0.000480003
0.086999997,1.034000039,0.0026,0.002399998
0.151999995,1.093999982,0.00268,0.003039999
0.218999997,1.169999957,2.04E-03,0.003400002
0.270000011,1.254999995,0.000799999,0.001760001
0.289999992,1.299000025,-8.00E-05,-0.000120001
0.287999988,1.296000004,-0.000239999,-2.12E-03
0.282000005,1.243000031,-0.00052,-0.003959999
0.268999994,1.144000053,-0.00152,-0.003080001
0.231000006,1.067000031,-0.002600001,-0.002320004
0.165999994,1.008999944,-0.00308,-0.001039999
0.089000002,0.98299998,-0.00316,0.001320002
0.01,1.016000032,-4.00E-05,0.000120001
0.009,1.019000053,0,8.00E-05
0.009,1.021000028,-0.00012,0.000239997
0.006,1.02699995,-0.00052,0.001080003
-0.007,1.05400002,0.00052,-0.000840001
0.006,1.032999992,0.0026,-4.00E-05
0.071000002,1.031999946,0.00296,0.002360001
0.144999996,1.090999961,0.00276,0.003040004
0.214000002,1.167000055,2.24E-03,0.003399997
0.270000011,1.251999974,0.001079999,0.002000003
0.296999991,1.302000046,4.00E-05,0
0.298000008,1.302000046,-0.000120001,-1.76E-03
0.294999987,1.258000016,-0.00028,-0.003280001
0.287999988,1.175999999,-0.001759999,-0.003920002
0.244000003,1.077999949,-0.00264,-0.003479998
0.178000003,0.990999997,-0.00328,-0.000999999
0.096000001,0.966000021,-0.00304,0.001639998
0.02,1.006999969,-0.00044,0.000480003
0.009,1.019000053,0,4.00E-05
0.009,1.019999981,0,1.60E-04
0.009,1.024000049,-0.00044,0.000799999
-0.002,1.04400003,-4.00E-05,0.000359998
-0.003,1.052999973,0.00272,-0.00072
0.064999998,1.034999967,0.00292,0.00184
0.137999997,1.08099997,0.0028,0.003000002
0.208000004,1.156000018,2.40E-03,0.003239999
0.268000007,1.236999989,0.00104,0.002319999
0.294,1.294999957,-0.00012,0.000240002
0.291000009,1.300999999,-0.000400001,-0.001680002
0.280999988,1.258999944,-0.000439999,-0.003439999
0.270000011,1.172999978,-0.00168,-0.00388
0.228,1.075999975,-0.00276,-0.00224
0.158999994,1.019999981,-2.80E-03,-4.40E-04
0.089000002,1.008999944,-0.00192,0.001360002
0.041000001,1.042999983,-0.0014,-0.000840001
0.006,1.021999955,0.00016,0
0.01,1.021999955,-8.00E-05,1.60E-04
0.008,1.026000023,-0.00032,0.000840001
0,1.047000051,-0.00048,-8.00E-05
-0.012,1.044999957,0.0012,-0.000679998
0.017999999,1.027999997,0.003,0.001960001
0.093000002,1.077000022,0.00332,0.003399997
0.175999999,1.161999941,0.00276,0.003760004
0.245000005,1.256000042,0.0014,0.002119999
0.280000001,1.309000015,0.00024,8.00E-05
